job_id,task_index,scheduling_class,priority,cpu_request,memory_request,disk_space_request,time_seconds,duration
6231386746,73,3,9,0.1313,0.1115,0.0002108,0,672.7704906
2902878580,3689,2,11,0.006248,0.001457,4.20E-05,0,672.7704906
6127640366,0,1,9,0.03125,0.009323,2.67E-05,0,672.7704906
6221861800,19773,0,0,0.0125,0.0159,0.0004044,0,672.7704906
6221861800,1758,0,0,0.0125,0.0159,0.0004044,0,672.7704906
6225099547,3344,2,2,0.03064,0.01317,0.0001554,0,672.7704906
6251941721,530,0,2,0.02499,0.03339,0.0003862,4223.091001,672.7704906
6238340468,282,1,0,0.0625,0.03961,3.82E-05,0,672.7704906
6240256777,210,3,8,0.006248,0.003883,4.39E-05,0,672.7704906
6238841354,28,1,9,0.03125,0.02795,0.0001926,0,672.7704906
5921809619,358,0,0,0.006248,0.002331,0.0003862,0,672.7704906
515042969,6,2,0,0.01562,0.01553,0.0002155,4865.930302,672.7704906
515042969,6,2,0,0.01562,0.01553,0.0002155,4865.930302,672.7704906
515042969,6,2,0,0.01562,0.01553,0.0002155,4865.930302,672.7704906
515042969,6,2,0,0.01562,0.01553,0.0002155,4865.930302,672.7704906
515042969,6,2,0,0.01562,0.01553,0.0002155,4865.930302,672.7704906
515042969,6,2,0,0.01562,0.01553,0.0002155,4865.930302,672.7704906
5063960317,126,3,9,0.03125,0.01553,0.0002251,0,672.7704906
6251921741,852,0,2,0.02499,0.03339,0.0003862,3938.009541,672.7704906
6247854944,43,0,2,0.03,0.00766,3.05E-05,0,672.7704906
515042954,12,2,0,0.1156,0.02097,0.0001059,0,672.7704906
5251189610,225,2,2,0.0625,0.02219,1.91E-05,0,672.7704906
2902878580,1872,2,11,0.006248,0.001457,4.20E-05,0,672.7704906
519524649,0,2,10,0.0625,0.007767,9.54E-06,0,672.7704906
5633011107,8,1,8,0.0125,0.00544,1.91E-05,0,672.7704906
5633010657,16,1,8,0.0125,0.00544,1.91E-05,0,672.7704906
6249153835,196,0,0,0.2505,0.001554,3.82E-06,0,672.7704906
6251921741,582,0,2,0.02499,0.03339,0.0003862,3938.009271,672.7704906
4974639809,162,3,9,0.03125,0.01553,1.53E-05,0,672.7704906
6251904229,730,0,2,0.02499,0.03339,0.0003862,3549.873687,672.7704906
5285926325,0,0,9,0.0625,0.006218,3.82E-05,3416.947807,672.7704906
5285926325,0,0,9,0.0625,0.006218,3.82E-05,3416.947807,672.7704906
5285926325,0,0,9,0.0625,0.006218,3.82E-05,3416.947807,672.7704906
6250245734,4092,0,2,0.0625,0.1184,0.001158,0,672.7704906
2902878580,2638,2,11,0.006248,0.001457,4.20E-05,0,672.7704906
6250257820,3196,0,2,0.0625,0.1592,0.001158,0,672.7704906
6251983768,259,0,0,0.03125,0.003109,0.0003862,4948.954222,672.7704906
6251812952,1343,0,2,0.02499,0.07959,0.0003862,2199.34574,672.7704906
6238340468,1843,1,0,0.0625,0.03961,3.82E-05,2235.280647,672.7704906
6251779174,24,0,2,0.02499,0.02545,0.0003862,2100.114227,672.7704906
515042969,11,2,0,0.01562,0.01553,0.0002155,5110.091851,672.7704906
515042969,11,2,0,0.01562,0.01553,0.0002155,5110.091851,672.7704906
515042969,11,2,0,0.01562,0.01553,0.0002155,5110.091851,672.7704906
515042969,11,2,0,0.01562,0.01553,0.0002155,5110.091851,672.7704906
6251687275,1025,0,2,0.02499,0.03339,0.0003862,870.118707,672.7704906
6251722714,496,0,2,0.02499,0.02545,0.0003862,1423.337957,672.7704906
1343463628,0,2,10,0.0625,0.03979,3.82E-05,0,672.7704906
6186120532,917,2,9,0.006248,0.1323,0.0003281,0,672.7704906
6251866953,460,0,2,0.02499,0.03339,0.0003862,2851.444937,672.7704906
6251277720,397,0,1,0.0625,0.0318,0.0002699,0,672.7704906
6251765262,138,0,0,0.0125,0.006104,1.53E-05,1715.626104,672.7704906
6251722714,349,0,2,0.02499,0.02545,0.0003862,1423.33781,672.7704906
4765556460,1065,3,9,0.05627,0.0159,0.0008488,0,672.7704906
6238844615,11,1,9,0.03125,0.02795,0.0001926,0,672.7704906
3996125377,241,3,9,0.003124,0.002796,3.43E-05,0,672.7704906
4769197600,9,3,9,0.06567,0.02292,0.0003071,0,672.7704906
6251784165,256,1,2,0.09998,0.02069,3.82E-05,2122.97858,672.7704906
4665712499,370,3,9,0.08496,0.07642,0.0003862,0,672.7704906
6206862915,395,1,9,0.06873,0.07959,9.63E-05,0,672.7704906
6251277720,1644,0,1,0.0625,0.0318,0.0002699,0,672.7704906
6218406404,2703,2,0,0.04065,0.02069,3.82E-05,0,672.7704906
6250257820,1089,0,2,0.0625,0.1592,0.001158,0,672.7704906
6218406404,880,2,0,0.04065,0.02069,3.82E-05,0,672.7704906
6251974185,4,0,2,0.02499,0.03339,0.0003862,4852.010964,672.7704906
6251672941,12,0,2,0.02499,0.03339,0.0003862,757.955093,672.7704906
5544436380,4,2,9,0.1594,0.04352,0.0008221,0,672.7704906
6218406404,3616,2,0,0.04065,0.02069,3.82E-05,0,672.7704906
3936670257,281,3,1,0.01874,0.01865,4.48E-05,0,672.7704906
6233560286,2,1,9,0.01874,0.003109,3.82E-05,0,672.7704906
5238323947,106,2,9,0.1875,0.04773,0.0001545,0,672.7704906
6251414911,987,0,1,0.0625,0.0318,0.0001926,0,672.7704906
6221861800,19306,0,0,0.0125,0.0159,0.0004044,0,672.7704906
6125416085,0,1,9,0.0625,0.0636,3.82E-05,0,672.7704906
4765556460,168,3,9,0.05627,0.0159,0.0008488,0,672.7704906
4665896876,355,3,9,0.1038,0.07642,0.0003862,0,672.7704906
5633011727,12,1,8,0.0125,0.00544,1.91E-05,0,672.7704906
6251941721,812,0,2,0.02499,0.03339,0.0003862,4223.091565,672.7704906
6207117444,6,1,9,0.0125,0.02386,1.14E-05,0,672.7704906
6250345153,832,0,0,0.06873,0.01193,0.0001154,2242.917469,672.7704906
6249153835,309,0,0,0.2505,0.001554,3.82E-06,0,672.7704906
6251877189,88,0,0,0.03375,0.002937,7.63E-06,3073.942662,672.7704906
4028922835,1757,2,11,0.0625,0.01981,9.63E-05,0,672.7704906
6251749537,358,0,2,0.03125,0.007767,2.86E-05,1573.781896,672.7704906
6239580865,60,1,9,0.1875,0.05249,0.0003862,0,672.7704906
5402488769,3488,1,0,0.0006247,0.003883,2.10E-05,0,672.7704906
6250245734,3983,0,2,0.0625,0.1184,0.001158,0,672.7704906
4974636615,79,3,9,0.0625,0.08569,0.000926,0,672.7704906
6249153835,46,0,0,0.2505,0.001554,3.82E-06,0,672.7704906
6251769576,41,1,2,0.03125,0.009323,0.0001545,1836.731152,672.7704906
6251675508,149,0,2,0.009369,0.01048,1.91E-05,772.013885,672.7704906
6238840043,123,1,9,0.03125,0.02795,0.0001926,0,672.7704906
6218406404,1784,2,0,0.04065,0.02069,3.82E-05,0,672.7704906
6250257820,4532,0,2,0.0625,0.1592,0.001158,0,672.7704906
6221861800,7719,0,0,0.0125,0.0159,0.0004044,0,672.7704906
4765556460,1163,3,9,0.05627,0.0159,0.0008488,0,672.7704906
6251800147,0,1,2,0.006248,0.002796,4.48E-05,2160.149883,672.7704906
6251882848,743,0,2,0.02499,0.03339,0.0003862,3238.165466,672.7704906
4974641577,111,3,9,0.1875,0.05707,0.0009251,0,672.7704906
6251969145,242,0,2,0.02499,0.03339,0.0003862,4839.387976,672.7704906
3668158425,53,2,1,0.0625,0.002953,1.91E-05,0,672.7704906
6130716573,0,1,9,0.006248,0.0318,3.82E-06,1871.606942,672.7704906
6130716573,0,1,9,0.006248,0.0318,3.82E-06,1871.606942,672.7704906
6251951306,286,0,2,0.02499,0.03339,0.0003862,4365.068037,672.7704906
6251726235,241,0,2,0.02499,0.02545,0.0003862,1437.048807,672.7704906
6238340468,1033,1,0,0.0625,0.03961,3.82E-05,0,672.7704906
6214298912,80,1,9,0.07812,0.09229,9.63E-05,0,672.7704906
6238840043,10,1,9,0.03125,0.02795,0.0001926,0,672.7704906
6176871439,1297,2,1,0.0625,0.05316,0.000308,0,672.7704906
5016909309,1,2,9,0.1843,0.0946,0.0002079,0,672.7704906
4028922835,846,2,11,0.0625,0.01981,9.63E-05,0,672.7704906
6221861800,19761,0,0,0.0125,0.0159,0.0004044,2225.955537,672.7704906
6221861800,11574,0,0,0.0125,0.0159,0.0004044,0,672.7704906
4665617026,744,2,9,0.08435,0.07642,0.0003862,0,672.7704906
6251951306,24,0,2,0.02499,0.03339,0.0003862,4365.067775,672.7704906
4665712499,767,3,9,0.08496,0.07642,0.0003862,0,672.7704906
5889934721,332,3,9,0.06567,0.02292,0.0003281,0,672.7704906
6251674199,986,0,2,0.02499,0.03339,0.0003862,760.950152,672.7704906
6176858948,2698,2,1,0.01874,0.003109,2.67E-05,0,672.7704906
4392480606,112,2,0,0.0625,0.06335,7.73E-05,0,672.7704906
6251784940,460,0,2,0.02499,0.02545,0.0003862,2135.463795,672.7704906
4861489847,114,2,1,0.0006247,0.03339,1.91E-05,0,672.7704906
6251753305,829,0,2,0.02499,0.03339,0.0003862,1599.232867,672.7704906
5310996749,205,2,9,0.1875,0.05316,0.000308,0,672.7704906
5456984290,298,3,9,0.2219,0.2163,0.0005064,0,672.7704906
6250245734,438,0,2,0.0625,0.1184,0.001158,0,672.7704906
6251414911,1753,0,1,0.0625,0.0318,0.0001926,0,672.7704906
2902878580,3383,2,11,0.006248,0.001457,4.20E-05,0,672.7704906
6221861800,4087,0,0,0.0125,0.0159,0.0004044,2236.549869,672.7704906
4476805516,764,3,9,0.01938,0.004974,9.06E-05,0,672.7704906
6251938667,293,0,0,0.03125,0.003109,0.0003862,4205.532105,672.7704906
4974634423,167,3,9,0.0625,0.01746,4.58E-05,0,672.7704906
4751986813,75,0,1,0.0625,0.01553,3.82E-05,0,672.7704906
6251277720,606,0,1,0.0625,0.0318,0.0002699,0,672.7704906
5741669175,55,2,9,0.006248,0.05438,0.0001154,0,672.7704906
6176858948,1197,2,1,0.0625,0.05316,0.000308,0,672.7704906
5633011295,32,1,8,0.0125,0.00544,1.91E-05,0,672.7704906
6232606071,649,1,9,0.06873,0.07959,5.82E-05,0,672.7704906
6225099547,1313,2,2,0.03064,0.01317,0.0001554,0,672.7704906
6221861800,7954,0,0,0.0125,0.0159,0.0004044,0,672.7704906
6250257820,2120,0,2,0.0625,0.1592,0.001158,0,672.7704906
6221861800,7028,0,0,0.0125,0.0159,0.0004044,0,672.7704906
6221861800,2074,0,0,0.0125,0.0159,0.0004044,0,672.7704906
6127628424,0,2,9,0.0006247,0.003036,1.14E-05,0,672.7704906
6225087668,0,1,9,0.125,0.03107,0.0005789,0,672.7704906
6251723929,471,0,2,0.02499,0.02545,0.0003862,1423.339012,672.7704906
4620051871,4,3,9,0.01874,0.01166,3.82E-05,0,672.7704906
6119300167,258,2,9,0.03125,0.007767,3.05E-05,0,672.7704906
3418442,2,3,9,0,0,0,0,672.7704906
6221861800,12606,0,0,0.0125,0.0159,0.0004044,0,672.7704906
4952205202,389,2,2,0.0625,0.009796,1.91E-05,0,672.7704906
6186120532,66,2,9,0.006248,0.1323,0.0003281,0,672.7704906
6111532948,42,1,9,0.03125,0.0318,3.82E-05,0,672.7704906
5633011727,11,1,8,0.0125,0.00544,1.91E-05,0,672.7704906
4857081234,276,2,2,0.0625,0.04773,0.0001736,0,672.7704906
5456888990,47,3,9,0.1125,0.01709,3.53E-05,0,672.7704906
6251803864,1453,0,2,0.02499,0.02545,0.0003862,2175.432326,672.7704906
6221861800,18935,0,0,0.0125,0.0159,0.0004044,0,672.7704906
6251726235,1935,0,2,0.02499,0.02545,0.0003862,1437.050501,672.7704906
6176871439,3009,2,1,0.0625,0.05316,0.000308,0,672.7704906
6250245734,2730,0,2,0.0625,0.1184,0.001158,0,672.7704906
2902878580,3676,2,11,0.006248,0.001457,4.20E-05,0,672.7704906
4974637670,47,3,9,0.0625,0.01088,9.25E-05,0,672.7704906
6221861800,9473,0,0,0.0125,0.0159,0.0004044,0,672.7704906
6221861800,18506,0,0,0.0125,0.0159,0.0004044,0,672.7704906
6251687089,0,1,0,0.0625,0.01244,1.91E-05,851.953045,672.7704906
6251726235,1911,0,2,0.02499,0.02545,0.0003862,1437.050477,672.7704906
6221861800,6813,0,0,0.0125,0.0159,0.0004044,0,672.7704906
5633012381,52,1,8,0.0125,0.00544,1.91E-05,0,672.7704906
6238835525,4,1,9,0.03125,0.02795,0.0001926,0,672.7704906
6251974185,848,0,2,0.02499,0.03339,0.0003862,4852.011808,672.7704906
6252007287,0,2,8,0.009369,0.01553,7.53E-05,5211.764387,672.7704906
6133390513,8,2,1,0.0075,0.01012,0.0001183,0,672.7704906
6250257820,1149,0,2,0.0625,0.1592,0.001158,0,672.7704906
6251784940,1623,0,2,0.02499,0.02545,0.0003862,2135.466121,672.7704906
6251625636,28,2,1,0.03125,0.06335,5.82E-05,2430.25437,672.7704906
6251277720,1220,0,1,0.0625,0.0318,0.0002699,0,672.7704906
6221861800,9417,0,0,0.0125,0.0159,0.0004044,0,672.7704906
6221861800,4063,0,0,0.0125,0.0159,0.0004044,0,672.7704906
6251712256,215,0,2,0.02499,0.03339,0.0003862,1372.983691,672.7704906
6250257820,4953,0,2,0.0625,0.1592,0.001158,0,672.7704906
6114773114,173,0,0,0.0125,0.007767,0.0004044,0,672.7704906
6238841354,164,1,9,0.03125,0.02795,0.0001926,0,672.7704906
5412406508,84,3,9,0.0625,0.0101,0.0001278,0,672.7704906
6238837822,11,1,9,0.03125,0.02795,0.0001926,0,672.7704906
5544435560,429,2,9,0.1938,0.09546,3.82E-05,0,672.7704906
6250245734,418,0,2,0.0625,0.1184,0.001158,0,672.7704906
6251921741,177,0,2,0.02499,0.03339,0.0003862,3938.008866,672.7704906
1699314250,0,3,9,0.1875,0.04816,4.86E-05,0,672.7704906
6251726235,1692,0,2,0.02499,0.02545,0.0003862,1437.050258,672.7704906
5402488769,2893,1,0,0.0006247,0.003883,2.10E-05,0,672.7704906
6251784940,1845,0,2,0.02499,0.02545,0.0003862,2135.466565,672.7704906
6251779174,467,0,2,0.02499,0.02545,0.0003862,2100.11467,672.7704906
4974641942,330,3,9,0.125,0.1088,0.0007029,0,672.7704906
4844000327,20,3,10,0.0625,0.003109,7.63E-06,0,672.7704906
5950955866,224,2,0,0.06567,0.09778,9.06E-05,0,672.7704906
6235196851,29,0,0,0.009369,0.006218,0.001358,0,672.7704906
